fic,costat,datafmt,indfmt,consol,gvkey,datadate,conm,city,naics,sic,at,capx,dpact,ppegt,ppent,sale
KOR,A,HIST_STD,INDL,C,104582,2020-12-31,SAMSUNG SDI CO LTD,Yongin-Si,3344,3670,21534232.2670,1728269.7880,5471239.8710,11599339.0420,6128099.1710,11294770.4460
KOR,A,HIST_STD,INDL,C,104582,2021-12-31,SAMSUNG SDI CO LTD,Yongin-Si,3344,3670,25833192.9970,2254718.2660,6457118.3410,14093113.9310,7635995.5900,13553220.2490
KOR,A,HIST_STD,INDL,C,104582,2022-12-31,SAMSUNG SDI CO LTD,Yongin-Si,3344,3670,30257525.1710,2808898.1700,7434524.3640,16399994.1630,8965469.7990,20124069.5160
KOR,A,HIST_STD,INDL,C,104582,2023-12-31,SAMSUNG SDI CO LTD,Yongin-Si,3344,3670,34038860.1930,4048246.7160,9110405.5830,21003753.6600,11893348.0770,22708300.4990
KOR,A,HIST_STD,INDL,C,104583,2012-12-31,HYUNDAI ENGR & CONSTR CO,Seoul,236,1500,12746829.0000,97084.0000,572789.0000,1716819.0000,1144030.0000,13324821.0000
KOR,A,HIST_STD,INDL,C,104583,2013-12-31,HYUNDAI ENGR & CONSTR CO,Seoul,236,1500,14666501.0000,163977.0000,630639.0000,2268860.0000,1638221.0000,13852042.0000
KOR,A,HIST_STD,INDL,C,104583,2014-12-31,HYUNDAI ENGR & CONSTR CO,Seoul,236,1500,18244600.0000,188053.0000,756280.0000,2466924.0000,1710644.0000,17276480.0000
KOR,A,HIST_STD,INDL,C,104583,2015-12-31,HYUNDAI ENGR & CONSTR CO,Seoul,236,1500,19350103.0000,186517.0000,853995.0000,2608180.0000,1754185.0000,19233180.0000
KOR,A,HIST_STD,INDL,C,104583,2016-12-31,HYUNDAI ENGR & CONSTR CO,Seoul,236,1500,19873443.0000,178651.0000,914606.0000,2412695.0000,1498089.0000,18825015.0000
KOR,A,HIST_STD,INDL,C,104583,2017-12-31,HYUNDAI ENGR & CONSTR CO,Seoul,236,1500,18431902.0000,49766.0000,923430.0000,2322221.0000,1398791.0000,16887090.0000
KOR,A,HIST_STD,INDL,C,104583,2018-12-31,HYUNDAI ENGR & CONSTR CO,Seoul,236,1500,18054609.0000,191903.0000,971737.0000,2408311.0000,1436574.0000,16730894.0000
KOR,A,HIST_STD,INDL,C,104583,2019-12-31,HYUNDAI ENGR & CONSTR CO,Seoul,236,1500,18226972.0000,109938.0000,994936.0000,2414685.0000,1419749.0000,17278792.0000
KOR,A,HIST_STD,INDL,C,104583,2020-12-31,HYUNDAI ENGR & CONSTR CO,Seoul,236,1500,17939274.0000,73375.0000,869042.0000,1836512.0000,967470.0000,16970859.0000
KOR,A,HIST_STD,INDL,C,104583,2021-12-31,HYUNDAI ENGR & CONSTR CO,Seoul,236,1500,19637264.0000,97600.0000,738295.0000,1750423.0000,1012128.0000,18065534.0000
KOR,A,HIST_STD,INDL,C,104583,2022-12-31,HYUNDAI ENGR & CONSTR CO,Seoul,236,1500,20911708.0000,148404.0000,744993.0000,1793803.0000,1048810.0000,21239082.0000
KOR,A,HIST_STD,INDL,C,104583,2023-12-31,HYUNDAI ENGR & CONSTR CO,Seoul,236,1500,23714495.0000,222144.0000,725161.0000,1929681.0000,1204520.0000,29651357.0000
KOR,A,HIST_STD,INDL,C,104584,2012-12-31,GS ENGINEERING & CONSTRUCTN,Seoul,237,1600,11469527.1630,63918.2710,542508.0000,2796456.3870,2253948.3870,9289550.3560
KOR,A,HIST_STD,INDL,C,104584,2013-12-31,GS ENGINEERING & CONSTRUCTN,Seoul,237,1600,12427312.9420,176779.9540,534991.1290,2777887.0000,2242895.8710,9565758.1400
